,Unnamed: 0,stationId,geometry,x,y,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember,yearlyAverage
0,0,6096,POINT (8.559900000000001 55.1904),8.5599,55.1904,6.45,6.85,6.85,7.9,6.4,7.2,6.0,6.3,5.5,8.1,6.5,7.1,7.0
1,1,6058,POINT (8.141299999999999 56.0072),8.1413,56.0072,6.25,7.300000000000001,6.4,6.4,5.8,6.4,5.9,6.0,5.4,7.6,6.4,6.699999999999999,6.0
2,2,6156,POINT (11.6035 55.7358),11.6035,55.7358,4.5,4.800000000000001,4.6,5.3,4.4,5.0,3.7,3.9,3.8,5.5,4.4,5.25,5.0
3,3,6102,POINT (9.7872 55.868),9.7872,55.868,3.65,4.3,3.9,4.8,3.6,3.3,2.7,2.6,2.4,3.3,2.7,4.2,3.0
4,4,6052,POINT (8.215 56.7068),8.215,56.7068,6.45,6.7,6.45,7.9,6.0,7.5,6.7,6.6,5.6,8.9,8.0,7.9,7.0
5,5,6159,POINT (10.8694 55.7435),10.8694,55.7435,8.5,8.45,7.25,8.3,6.6,8.7,6.9,7.7,7.0,10.1,9.6,10.15,8.0
6,6,6169,POINT (11.2787 56.0083),11.2787,56.0083,7.4,7.4,6.699999999999999,8.0,5.7,8.2,6.4,6.9,6.2,9.3,8.7,8.95,8.0
7,7,6081,POINT (8.082800000000001 55.5575),8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,7.0
8,8,6065,POINT (9.5067 56.7558),9.5067,56.7558,3.95,4.6,4.75,5.1,3.8,4.6,3.5,3.3,3.0,4.3,3.6,4.45,4.0
9,9,6197,POINT (15.0953 55.0557),15.0953,55.0557,5.4,5.45,5.15,5.5,4.4,5.0,4.0,3.9,4.8,6.2,5.4,6.65,5.0
10,10,6151,POINT (11.1348 55.1593),11.1348,55.1593,7.75,7.5,6.45,7.3,6.1,7.5,6.1,6.6,7.3,8.8,8.7,8.899999999999999,7.0
11,11,6072,POINT (10.1272 56.3027),10.1272,56.3027,3.9,4.45,4.05,5.0,4.0,3.9,3.0,3.2,2.8,3.9,3.3,4.449999999999999,4.0
12,12,6174,POINT (12.149 55.3955),12.149,55.3955,3.7,4.15,4.0,4.0,3.7,3.8,2.9,3.1,3.3,4.2,3.4,4.25,4.0
13,13,6149,POINT (11.9435 54.5687),11.9435,54.5687,6.95,6.6,6.0,7.0,5.7,6.5,5.1,5.7,5.9,7.6,7.4,8.05,7.0
14,14,6123,POINT (9.888199999999999 55.2444),9.8882,55.2444,5.85,6.0,5.05,5.6,5.0,5.8,4.9,5.5,5.3,6.8,6.5,6.95,6.0
15,15,6073,POINT (10.5135 56.0955),10.5135,56.0955,6.05,6.2,5.699999999999999,6.7,4.9,6.2,5.4,5.5,5.5,7.4,6.8,7.0,6.0
16,16,6184,POINT (12.562 55.716),12.562,55.716,4.3,4.75,3.5,4.2,3.5,4.1,3.0,3.1,2.9,4.3,3.5,4.1,4.0
17,17,6181,POINT (12.5263 55.7664),12.5263,55.7664,3.35,3.35,3.35,4.0,3.2,3.8,2.8,2.8,2.6,3.9,3.1,3.85,3.0
18,18,6124,POINT (10.5693 55.0144),10.5693,55.0144,4.1,4.5,4.2,4.9,4.2,4.6,3.5,3.6,3.6,4.9,4.1,4.7,4.0
19,19,6138,POINT (10.9939 54.8205),10.9939,54.8205,7.2,7.05,6.6,7.5,6.6,7.3,5.4,6.1,6.6,8.3,7.8,8.55,7.0
20,20,6068,POINT (9.181100000000001 56.0939),9.1811,56.0939,3.65,4.35,4.05,4.3,3.9,4.0,3.3,3.2,2.8,4.0,3.2,4.05,4.0
21,21,6093,POINT (8.655099999999999 55.2908),8.6551,55.2908,6.2,6.6,6.15,8.2,6.1,7.5,6.3,6.8,5.4,8.0,6.4,7.15,7.0
22,22,6147,POINT (12.1841 54.879),12.1841,54.879,6.2,6.5,6.0,6.1,5.2,5.9,4.4,4.8,5.7,6.4,6.1,6.9,6.0
23,23,6126,POINT (10.4398 55.3088),10.4398,55.3088,4.0,4.4,4.25,4.6,4.0,4.3,3.3,3.5,3.2,4.4,3.7,4.75,4.0
24,24,6193,POINT (14.7718 55.2979),14.7718,55.2979,6.550000000000001,6.199999999999999,5.9,6.8,5.2,6.8,5.8,5.6,5.4,8.2,7.5,8.95,7.0
25,25,6056,POINT (8.670500000000001 56.383),8.6705,56.383,4.6,5.3,5.0,5.3,4.4,4.8,3.8,3.8,3.5,5.4,4.2,5.25,5.0
26,26,6119,POINT (9.988 54.8528),9.988,54.8528,7.5,8.100000000000001,7.15,6.1,5.8,5.8,5.0,5.7,6.5,7.6,7.4,8.1,7.0
27,27,6135,POINT (11.3879 55.3224),11.3879,55.3224,4.3,4.8,4.6,5.2,4.4,4.9,3.4,3.9,4.1,5.0,4.5,5.2,5.0
28,28,6041,POINT (10.6316 57.7364),10.6316,57.7364,8.0,8.45,7.45,7.5,6.0,7.4,6.2,6.0,7.0,9.2,7.7,7.899999999999999,8.0
29,29,6049,POINT (10.0929 56.5604),10.0929,56.5604,5.0,5.7,5.35,5.7,4.6,5.4,4.2,4.4,3.9,5.4,4.6,5.75,5.0
30,30,6074,POINT (10.1353 56.0803),10.1353,56.0803,3.9,4.800000000000001,4.25,4.1,3.6,4.0,3.1,3.3,3.0,3.9,3.4,4.199999999999999,4.0
31,31,6082,POINT (8.6242 55.9591),8.6242,55.9591,3.9,4.55,4.35,4.7,3.7,3.8,3.4,3.3,2.8,4.4,3.6,4.35,4.0
32,32,6154,POINT (11.8605 55.2075),11.8605,55.2075,4.15,4.6,4.6,4.6,4.5,4.7,3.5,3.8,3.9,4.8,3.9,4.85,4.0
33,33,6019,POINT (8.6412 56.93),8.6412,56.93,5.4,6.1,5.7,6.5,4.9,6.0,5.0,4.8,4.4,6.3,5.4,6.35,6.0
34,34,6031,POINT (9.9527 57.1852),9.9527,57.1852,4.1,4.6,4.55,5.8,4.3,5.7,3.1,2.6,2.5,3.8,3.3,4.699999999999999,4.0
35,35,6141,POINT (11.3292 54.8275),11.3292,54.8275,4.550000000000001,4.8,4.65,4.8,4.5,4.5,3.2,3.4,3.9,4.9,4.3,5.25,4.0
36,36,6032,POINT (10.3349 57.3828),10.3349,57.3828,4.55,5.6,5.3,5.8,4.4,5.3,4.1,3.9,3.8,5.8,4.5,5.65,5.0
37,37,6188,POINT (12.4121 55.8764),12.4121,55.8764,3.35,3.6,3.6,4.1,3.2,3.9,2.7,2.6,2.6,4.0,3.1,4.1,3.0
38,38,6079,POINT (11.5098 56.7169),11.5098,56.7169,7.1,7.0,5.949999999999999,7.1,5.3,7.7,6.2,6.9,5.6,9.0,8.4,8.65,7.0
39,39,6116,POINT (9.1229 54.8986),9.1229,54.8986,3.45,4.0,3.95,5.3,3.9,4.1,2.9,2.8,2.7,3.7,2.9,4.1,4.0
40,40,6136,POINT (11.3285 55.2465),11.3285,55.2465,4.25,4.7,4.35,4.4,4.2,4.6,3.3,3.7,4.0,4.9,4.5,5.0,4.0
41,41,6168,POINT (12.3424 56.1193),12.3424,56.1193,4.05,4.85,4.4,4.8,3.8,4.5,3.4,3.2,3.2,5.1,4.0,4.6,4.0
42,42,6088,POINT (8.4 55.4484),8.4,55.4484,3.0,,,,,,,,,,,,3.0
